train:0.5892857142857143 test:0.7908954450635142
train:0.6938775510204082 test:0.7679298665157761
train:0.68 test:0.8015331850953441
train:0.6808510638297872 test:0.8096878053923418
train:0.723404255319149 test:0.76487869690533
train:0.7083333333333334 test:0.7662377861231505
train:0.6470588235294118 test:0.7843040186371579
train:0.7083333333333334 test:0.7798312243257233
train:0.68 test:0.8007521757434644
train:0.6470588235294118 test:0.7588462633366412
