train:0.66 test:0.8089989167768941
train:0.7083333333333334 test:0.8397902944961768
train:0.7272727272727273 test:0.8330441096120706
train:0.6296296296296297 test:0.8376185516284312
train:0.7083333333333334 test:0.8422619245346972
train:0.6938775510204082 test:0.8305016046078404
train:0.7441860465116279 test:0.8207215475683288
train:0.7045454545454546 test:0.8269441743012379
train:0.7555555555555555 test:0.8153238853297093
train:0.75 test:0.8175333940401887
