train:0.7555555555555555 test:0.8621629164486307
train:0.7906976744186046 test:0.8223994123919736
train:0.8292682926829268 test:0.8358379424149313
train:0.7111111111111111 test:0.8654970170202816
train:0.75 test:0.844851187435457
train:0.7391304347826086 test:0.830712911892568
train:0.7391304347826086 test:0.8479806928029069
train:0.7021276595744681 test:0.8221371769637976
train:0.723404255319149 test:0.8429308822723774
train:0.6938775510204082 test:0.8372712352705033
