train:0.6808510638297872 test:0.8335050253853327
train:0.7391304347826086 test:0.8310343146420183
train:0.7391304347826086 test:0.874709554612223
train:0.7391304347826086 test:0.8506020326373598
train:0.723404255319149 test:0.8314087034968425
train:0.8947368421052632 test:0.8370238807737082
train:0.7555555555555555 test:0.8413194087574848
train:0.7391304347826086 test:0.8208465765795532
train:0.7391304347826086 test:0.8589563173550363
train:0.7391304347826086 test:0.8368702382957551
