train:0.8870967741935484 test:0.9282239692914496
train:0.9067796610169492 test:0.92566131892441
train:0.9369369369369369 test:0.9330017423024426
train:0.9008264462809917 test:0.9412170882808466
train:0.9646017699115044 test:0.9459221140651252
train:0.9035087719298246 test:0.9316614286636371
train:0.9292035398230089 test:0.9362599861841341
train:0.954954954954955 test:0.9453105733387751
train:0.9716981132075472 test:0.9260470958581521
train:0.9363636363636364 test:0.936836812949666
